FUS INS {}
INS RPS8 {}
INS MTHFR {}
INS PON1 {}
INS VAPB {}
INS IDE {}
INS SETX {}
PSEN1 RPS8 {}
PSEN1 HLA-DRA {}
RPS8 BACE1 {}
RPS8 GFAP {}
RPS8 GSTA4 {}
RPS8 VCP {}
RPS8 NOS3 {}
RPS8 SIGMAR1 {}
RPS8 HNRNPA1 {}
RPS8 PARK2 {}
RPS8 MAP3K5 {}
RPS8 HTRA1 {}
RPS8 HNRNPA2B1 {}
RPS8 IGF1 {}
HLA-DRA MAOB {}
PINK1 PTGS2 {}
PTGS2 CLU {}
PTGS2 TOMM40 {}
PTGS2 ESR1 {}
PTGS2 TALDO1 {}
PTGS2 MAP3K5 {}
PPARGC1A F2 {}
PPARGC1A MAOB {}
PPARGC1A MAPT {}
PPARGC1A NQO1 {}
PPARGC1A IGF1 {}
PPARGC1A ADAM10 {}
PPARGC1A SNCA {}
PPARGC1A DPYSL2 {}
MAPT IGF1 {}
MAPT PARK2 {}
MAPT GDNF {}
MAPT APOC1 {}
NQO1 IGF1 {}
NQO1 OPTN {}
NQO1 GFAP {}
NQO1 FBP1 {}
NQO1 EPHA4 {}
NQO1 APOC1 {}
NQO1 BAG5 {}
IGF1 SNCA {}
IGF1 SIGMAR1 {}
IGF1 HNRNPA1 {}
IGF1 A2M {}
IGF1 PARK2 {}
SNCA GFAP {}
SNCA DPYSL2 {}
SNCA BAG5 {}
SNCA C9orf72 {}
SNCA EPHA4 {}
SNCA A2M {}
SNCA LEP {}
DPYSL2 TP53 {}
DPYSL2 C9orf72 {}
DPYSL2 CHMP2B {}
DPYSL2 BIN1 {}
DPYSL2 GDNF {}
DPYSL2 EPHA4 {}
DPYSL2 NGF {}
BACE1 BAG5 {}
GFAP GAK {}
GFAP ENO1 {}
GFAP RPL23A {}
GFAP LRRK2 {}
GFAP GDNF {}
GFAP NGF {}
GFAP EWSR1 {}
GFAP BIN1 {}
GFAP MAP2 {}
GFAP VCP {}
GFAP HLA-DRB5 {}
GFAP INSR {}
GFAP MATR3 {}
GFAP PSEN2 {}
GFAP TPI1 {}
GSTA4 APP {}
GSTA4 NOS3 {}
NOS3 HNRNPA2B1 {}
NOS3 GDNF {}
NOS3 HTRA1 {}
SIGMAR1 SORL1 {}
PARK2 BAG5 {}
MAP3K5 BCL2 {}
MAP3K5 OPTN {}
MAP3K5 CLU {}
MAP3K5 TOMM40 {}
MAP3K5 CRH {}
MAP3K5 ESR1 {}
MAP3K5 ENO2 {}
MAP3K5 NOTCH3 {}
HTRA1 IGF2R {}
VPS35 DNMT1 {}
VPS35 IGF2R {}
VPS35 OPTN {}
VPS35 HSPA9 {}
VPS35 SOD2 {}
VPS35 HGF {}
DNMT1 OPTN {}
DNMT1 IGF2R {}
DNMT1 HGF {}
DNMT1 BAG5 {}
DNMT1 HSPA9 {}
DNMT1 SOD2 {}
DNMT1 PON1 {}
DNMT1 ERBB4 {}
DNMT1 TALDO1 {}
DNMT1 CAMK1G {}
IGF2R OPTN {}
IGF2R TNFRSF21 {}
IGF2R SOD2 {}
IGF2R HSPA9 {}
IGF2R HGF {}
IGF2R TNF {}
OPTN VAPB {}
OPTN PON1 {}
OPTN FBP1 {}
OPTN BDNF {}
OPTN DRD1 {}
OPTN SOD2 {}
OPTN HSPA9 {}
OPTN HGF {}
HSPA9 HGF {}
HSPA9 GPX1 {}
HSPA9 SQSTM1 {}
HSPA9 SOD2 {}
SOD2 HGF {}
HGF CASP3 {}
HGF ATXN2 {}
HGF TNF {}
HGF RPL6 {}
HGF VAPB {}
HGF GDNF {}
HGF SOD1 {}
HGF BDNF {}
HGF HSPA1A {}
HGF EPHA1 {}
DNM1L RPL14 {}
RPL14 PGRMC1 {}
