ADAM10 PPARG {}
PPARG A2M {}
PPARG RPS8 {}
PPARG NOS3 {}
PPARG SOD1 {}
PPARG TF {}
PPARG SIGMAR1 {}
IGF2 A2M {}
IGF2 GSTM1 {}
A2M VCP {}
A2M PARK2 {}
A2M NOTCH3 {}
A2M HNRNPA1 {}
A2M PSEN1 {}
A2M MTHFR {}
A2M HSPA1A {}
A2M CALM1 {}
A2M IL6 {}
A2M DNMT1 {}
A2M ERBB4 {}
A2M CDK5 {}
GSTM1 CAMK1G {}
HNRNPA2B1 BAG5 {}
BAG5 HGF {}
BAG5 DCTN1 {}
BAG5 CCNF {}
BAG5 HLA-DRB5 {}
BAG5 IL6 {}
SORL1 EIF2S1 {}
SORL1 CAMK1G {}
SORL1 WWOX {}
SORL1 GFAP {}
SORL1 CDK5 {}
SORL1 MAP2 {}
SORL1 DPYSL2 {}
SORL1 RPL14 {}
WWOX CDK5 {}
WWOX CALM1 {}
WWOX PON1 {}
WWOX BAX {}
GFAP CDK5 {}
GFAP TALDO1 {}
GFAP PARK2 {}
GFAP NGF {}
GFAP FBP1 {}
GFAP BAX {}
GFAP IDE {}
CDK5 DPYSL2 {}
CDK5 MTHFR {}
CDK5 HSPA1A {}
CDK5 TP53 {}
CDK5 CALM1 {}
DPYSL2 PARK2 {}
DPYSL2 RPL14 {}
DPYSL2 IDE {}
DPYSL2 PPARGC1A {}
DPYSL2 FBP1 {}
DPYSL2 TP53 {}
DPYSL2 CASP3 {}
RPL14 TFAM {}
RPL14 PPARGC1A {}
RPL14 MAP3K5 {}
RPL14 C9orf72 {}
RPL14 PON1 {}
RPL14 FBP1 {}
RPL14 GSR {}
VCP IDE {}
PARK2 PARK7 {}
PARK2 GSTA4 {}
PARK2 IGF1R {}
PARK2 INS {}
PARK2 PON1 {}
PARK2 GSR {}
PARK2 HTRA1 {}
PARK2 C9orf72 {}
PARK2 AMFR {}
PARK2 HNRNPA1 {}
PARK2 TREM2 {}
PARK2 RPL6 {}
PARK2 DHCR24 {}
PARK2 CD2AP {}
PARK2 LRRK2 {}
NOTCH3 ESR1 {}
NOTCH3 PSEN1 {}
PSEN1 ERBB4 {}
PSEN1 PON1 {}
PSEN1 DNMT1 {}
MTHFR TPI1 {}
CALM1 IDE {}
IL6 DNM1L {}
IL6 TALDO1 {}
IL6 HGF {}
IL6 DCTN1 {}
IL6 UNC13A {}
IL6 CCNF {}
IL6 SETX {}
IL6 F2 {}
DNMT1 MAPT {}
EPHA4 UBQLN2 {}
EPHA4 MAPT {}
EPHA4 TALDO1 {}
EPHA4 TARDBP {}
EPHA4 IL1B {}
EPHA4 GSK3B {}
UBQLN2 TALDO1 {}
UBQLN2 MAPT {}
UBQLN2 GSK3B {}
UBQLN2 IDE {}
UBQLN2 TARDBP {}
UBQLN2 IL1B {}
