CHMP2B GAPDHS {}
GAPDHS EIF2S1 {}
GAPDHS GSTM1 {}
GAPDHS NQO1 {}
GAPDHS FBP1 {}
GAPDHS ATXN2 {}
GAPDHS GFAP {}
OPTN EIF2S1 {}
OPTN GAK {}
EIF2S1 SETX {}
EIF2S1 C9orf72 {}
EIF2S1 MATR3 {}
EIF2S1 PINK1 {}
EIF2S1 IDE {}
EIF2S1 GSK3B {}
EIF2S1 MAOB {}
EIF2S1 GSR {}
EIF2S1 PSEN2 {}
EIF2S1 TNF {}
EIF2S1 DRD1 {}
EIF2S1 GSTA4 {}
GAK VCP {}
IGF1R HNRNPA2B1 {}
HNRNPA2B1 TARDBP {}
HNRNPA2B1 LEP {}
HNRNPA2B1 CRH {}
HNRNPA2B1 HLA-DRB5 {}
HNRNPA2B1 PSEN2 {}
DPYSL2 MTHFR {}
DPYSL2 VCP {}
DPYSL2 CALM1 {}
DPYSL2 BAX {}
DPYSL2 GSTA4 {}
DPYSL2 DHCR24 {}
DPYSL2 PPARGC1A {}
DPYSL2 HSPA1A {}
CALM1 GSTA4 {}
CALM1 GSR {}
CALM1 CD2AP {}
CALM1 UBQLN2 {}
BAX GSTA4 {}
BAX VAPB {}
BAX C9orf72 {}
BAX RPL6 {}
BAX IGF2 {}
BAX UBQLN2 {}
BAX TYROBP {}
GSTA4 PPARGC1A {}
GSTA4 GSK3B {}
GSTA4 MAOB {}
GSTA4 SOD2 {}
GSTA4 GSR {}
PPARGC1A C9orf72 {}
PPARGC1A HSPA1A {}
PPARGC1A TYROBP {}
PPARGC1A PSEN1 {}
PPARGC1A IGF2 {}
PPARGC1A SOD2 {}
PPARGC1A RELN {}
HSPA1A PARK7 {}
HSPA1A PSEN1 {}
HSPA1A INS {}
HSPA1A FUS {}
HSPA1A CD2AP {}
HSPA1A IGF2 {}
HSPA1A HFE {}
SETX TYROBP {}
C9orf72 BACE1 {}
C9orf72 A2M {}
C9orf72 GPX1 {}
C9orf72 EWSR1 {}
C9orf72 CD2AP {}
C9orf72 HFE {}
C9orf72 NGF {}
C9orf72 FUS {}
C9orf72 TPI1 {}
C9orf72 PINK1 {}
C9orf72 HNRNPA1 {}
C9orf72 IL1B {}
C9orf72 UNC13A {}
C9orf72 RPL14 {}
C9orf72 INPP5D {}
MATR3 TF {}
MATR3 IDE {}
IDE DRD1 {}
IDE CD2AP {}
IDE TNF {}
GSK3B TP53 {}
GSR TYROBP {}
PSEN2 EPHA1 {}
PSEN2 VAPB {}
PSEN2 TARDBP {}
PSEN2 LEP {}
PSEN2 ESR1 {}
PSEN2 CRH {}
PSEN2 ATP5A1 {}
PSEN2 MAPT {}
TNF SORL1 {}
HMOX1 VPS35 {}
HMOX1 SORL1 {}
HMOX1 VAPB {}
HMOX1 ENO2 {}
HMOX1 EPHA4 {}
HMOX1 BIN1 {}
VPS35 VAPB {}
VPS35 SORL1 {}
