PTGS2 RELN {}
RELN VCP {}
RELN ENO1 {}
RELN SOD1 {}
RELN SNCA {}
RELN MAP3K5 {}
RELN IGF1 {}
EIF2S1 VCP {}
EIF2S1 TP53 {}
VCP GPX1 {}
VCP APP {}
VCP DCTN1 {}
VCP BAG5 {}
VCP PPARGC1A {}
VCP WWOX {}
VCP HMOX1 {}
VCP CALM1 {}
VCP ATXN2 {}
VCP ADAM10 {}
VCP NCSTN {}
VCP PSEN1 {}
TP53 PGRMC1 {}
INSR TYROBP {}
TYROBP TOMM40 {}
TYROBP PSEN2 {}
TYROBP GAK {}
TYROBP UNC13A {}
TYROBP ATXN2 {}
DNM1L MATR3 {}
DNM1L PGRMC1 {}
DNM1L AMFR {}
DNM1L APOE {}
DNM1L PSEN1 {}
DNM1L MAP2 {}
DNM1L SIGMAR1 {}
DNM1L TARDBP {}
AMFR PSEN1 {}
AMFR CALM1 {}
AMFR GSTA4 {}
AMFR IGF2R {}
APOE PSEN1 {}
APOE ENO2 {}
APOE APP {}
APOE TPI1 {}
APOE TNF {}
APOE IGF2R {}
APOE CHMP2B {}
PSEN1 SIGMAR1 {}
PSEN1 WWOX {}
PSEN1 HMOX1 {}
PSEN1 PARK7 {}
PSEN1 CALM1 {}
SIGMAR1 APP {}
SIGMAR1 TARDBP {}
SIGMAR1 CHMP2B {}
SIGMAR1 F2 {}
SIGMAR1 TNF {}
SIGMAR1 PARK7 {}
SIGMAR1 BACE1 {}
TARDBP GDNF {}
TARDBP F2 {}
TARDBP GSR {}
TARDBP EPHA4 {}
TARDBP GSTA4 {}
TARDBP TNF {}
TARDBP TNFRSF21 {}
GPX1 CHMP2B {}
APP VAPB {}
APP FUS {}
APP SORL1 {}
APP TFAM {}
APP GSTA4 {}
APP TNFRSF21 {}
APP VPS35 {}
APP EPHA4 {}
APP NOS1 {}
APP BAG5 {}
APP HNRNPA2B1 {}
APP RPL23A {}
APP IDE {}
APP TBK1 {}
APP PON1 {}
DCTN1 RPL14 {}
DCTN1 PPARGC1A {}
PPARGC1A NCSTN {}
PPARGC1A GSTA4 {}
PPARGC1A ADAM10 {}
WWOX SETX {}
CALM1 CHMP2B {}
ATXN2 GFAP {}
ATXN2 ENO2 {}
ATXN2 TOMM40 {}
ATXN2 PSEN2 {}
ATXN2 NGF {}
ATXN2 GAK {}
ATXN2 DPYSL2 {}
ATXN2 ESR1 {}
ADAM10 LEP {}
HSPA9 C9orf72 {}
HSPA9 LEP {}
HSPA9 ENO2 {}
HSPA9 NOS3 {}
HSPA9 BIN1 {}
HSPA9 DHCR24 {}
C9orf72 ENO2 {}
C9orf72 LEP {}
C9orf72 DHCR24 {}
C9orf72 CHMP2B {}
C9orf72 NOS3 {}
C9orf72 BIN1 {}
C9orf72 SOD1 {}
C9orf72 CAMK1G {}
C9orf72 UNC13A {}
C9orf72 HLA-DRB5 {}
LEP ENO2 {}
LEP DPP6 {}
LEP BIN1 {}
LEP NOS3 {}
LEP DHCR24 {}
LEP EWSR1 {}
ENO2 SNCA {}
ENO2 SOD1 {}
ENO2 TPI1 {}
ENO2 HTRA1 {}
ENO2 RPL6 {}
ENO2 BIN1 {}
ENO2 NOS3 {}
ENO2 DHCR24 {}
NOS3 DHCR24 {}
