CRH TP53 {}
TP53 GSK3B {}
TP53 IGF2 {}
TP53 HGF {}
TP53 PARK2 {}
TP53 ENO2 {}
TP53 MAP2 {}
EPHA1 GSK3B {}
EPHA1 IGF2R {}
GSK3B HFE {}
GSK3B GPX1 {}
GSK3B INSR {}
GSK3B TPI1 {}
GSK3B HSPA9 {}
GSK3B AMFR {}
GSK3B ADAM10 {}
GSK3B CAMK1G {}
GSK3B OPTN {}
GSK3B ERBB4 {}
GSK3B BDNF {}
GSK3B GSTM1 {}
IGF2R IL6 {}
TFAM SQSTM1 {}
SQSTM1 CASP3 {}
SQSTM1 SORL1 {}
SQSTM1 DCTN1 {}
SQSTM1 ENO1 {}
SQSTM1 OPTN {}
APOC1 NOS1 {}
APOC1 IL6 {}
APOC1 NCSTN {}
APOC1 DRD1 {}
APOC1 GSTM1 {}
APOC1 RPL6 {}
APOC1 DPYSL2 {}
APOC1 SETX {}
NCSTN GSTM1 {}
NCSTN CAMK1G {}
NCSTN PICALM {}
NCSTN ATP5A1 {}
DRD1 GSTM1 {}
DRD1 UNC13A {}
DRD1 GPX1 {}
DRD1 SOD1 {}
DRD1 PON1 {}
DRD1 ATP5A1 {}
DRD1 WWOX {}
GSTM1 DPYSL2 {}
GSTM1 AMFR {}
GSTM1 ADAM10 {}
GSTM1 IGF1 {}
GSTM1 CAMK1G {}
DPYSL2 GPX1 {}
DPYSL2 SETX {}
DPYSL2 WWOX {}
DPYSL2 ATXN2 {}
DPYSL2 PON1 {}
DPYSL2 IGF1 {}
DPYSL2 A2M {}
SETX BAG5 {}
SETX ATXN2 {}
SETX HMOX1 {}
SETX VPS35 {}
SETX PICALM {}
SETX PON1 {}
SETX HLA-DRA {}
HFE WWOX {}
GPX1 TNFRSF21 {}
GPX1 CD2AP {}
GPX1 TBK1 {}
GPX1 RPL23A {}
GPX1 PICALM {}
GPX1 HLA-DRA {}
GPX1 DNM1L {}
GPX1 VPS35 {}
GPX1 BIN1 {}
GPX1 TPI1 {}
GPX1 PTGS2 {}
GPX1 HTRA1 {}
GPX1 CHMP2B {}
GPX1 RPS8 {}
GPX1 PINK1 {}
INSR NOS3 {}
INSR HSPA9 {}
HSPA9 BDNF {}
HSPA9 PICALM {}
HSPA9 ERBB4 {}
AMFR APOE {}
CAMK1G WWOX {}
OPTN RELN {}
OPTN UNC13A {}
OPTN CASP3 {}
OPTN SORL1 {}
OPTN TALDO1 {}
OPTN DCTN1 {}
OPTN GAPDHS {}
OPTN MAPT {}
ERBB4 NGF {}
