IGF2R PTGS2 {}
PTGS2 TFAM {}
PTGS2 AMFR {}
PTGS2 TBK1 {}
PTGS2 EPHA1 {}
PTGS2 BACE1 {}
PTGS2 NOS1 {}
CCNF TFAM {}
CCNF CLU {}
TFAM ESR1 {}
TFAM WWOX {}
TFAM TP53 {}
TFAM CASP3 {}
TFAM GAK {}
TFAM PPARGC1A {}
TFAM INPP5D {}
TFAM BAX {}
TFAM TARDBP {}
TFAM EWSR1 {}
TFAM IGF2 {}
TFAM HLA-DRA {}
CLU PICALM {}
LRRK2 CAMK1G {}
CAMK1G ADAM10 {}
CAMK1G SQSTM1 {}
CAMK1G MAP2 {}
CAMK1G NCSTN {}
CAMK1G TARDBP {}
BDNF HGF {}
BDNF PICALM {}
BDNF IL1B {}
BDNF TPI1 {}
BDNF HLA-DRA {}
BDNF TNFRSF21 {}
BDNF NOS3 {}
BDNF APOE {}
IL1B HLA-DRA {}
IL1B BAX {}
IL1B TALDO1 {}
IL1B VPS35 {}
TPI1 HLA-DRA {}
TPI1 C9orf72 {}
TPI1 WWOX {}
TPI1 MAOB {}
TPI1 HTRA1 {}
TPI1 VPS35 {}
TPI1 SOD1 {}
HLA-DRA NOS3 {}
HLA-DRA PPARGC1A {}
HLA-DRA INPP5D {}
HLA-DRA UNC13A {}
HLA-DRA BAX {}
NOS3 WWOX {}
NOS3 APOE {}
NOS3 SOD1 {}
NOS3 PSEN2 {}
NOS3 HTRA1 {}
NOS3 UNC13A {}
NOS3 FBP1 {}
APOE PGRMC1 {}
APOE PSEN2 {}
APOE GPX1 {}
APOE APP {}
APOE TALDO1 {}
APOE HTRA1 {}
APOE MATR3 {}
ESR1 SOD1 {}
WWOX EPHA4 {}
WWOX SOD2 {}
WWOX NGF {}
WWOX PSEN1 {}
WWOX TALDO1 {}
WWOX MATR3 {}
WWOX VCP {}
WWOX APP {}
WWOX SETX {}
WWOX CASP3 {}
WWOX BAG5 {}
WWOX RPL6 {}
WWOX TOMM40 {}
WWOX GSTM1 {}
WWOX TREM2 {}
TP53 HNRNPA2B1 {}
TP53 GAK {}
GAK IGF2 {}
GAK TALDO1 {}
GAK EWSR1 {}
PPARGC1A GSTA4 {}
BAX SOD1 {}
TARDBP HSPA9 {}
TARDBP C9orf72 {}
TARDBP ADAM10 {}
TARDBP SQSTM1 {}
