HLA-DRA FUS {}
FUS GAK {}
FUS NQO1 {}
FUS RPL14 {}
FUS NCSTN {}
FUS CASP3 {}
FUS PARK2 {}
HTRA1 GAK {}
HTRA1 MAPT {}
GAK TNFRSF21 {}
GAK IGF1R {}
GAK UBQLN2 {}
GAK CHMP2B {}
GAK GDNF {}
GAK CD2AP {}
GAK BACE1 {}
GAK GSTA4 {}
GAK IGF1 {}
GAK VPS35 {}
GAK PSEN2 {}
GAK LRRK2 {}
MAPT ERBB4 {}
GSR AMFR {}
AMFR HNRNPA1 {}
AMFR RPL23A {}
AMFR CAMK1G {}
AMFR TALDO1 {}
AMFR IGF1 {}
BCL2 IDE {}
BCL2 ERBB4 {}
BCL2 WWOX {}
BCL2 BIN1 {}
BCL2 LRRK2 {}
BCL2 IL1B {}
BCL2 TF {}
BCL2 HGF {}
WWOX LRRK2 {}
WWOX GSTA4 {}
WWOX VAPB {}
WWOX PSEN1 {}
BIN1 LRRK2 {}
BIN1 TPI1 {}
BIN1 IGF1R {}
BIN1 SORL1 {}
BIN1 MAP3K5 {}
BIN1 PSEN1 {}
BIN1 RELN {}
LRRK2 TF {}
LRRK2 CD2AP {}
LRRK2 BACE1 {}
LRRK2 TYROBP {}
LRRK2 GSTA4 {}
TF IGF1R {}
TF HGF {}
TF RELN {}
TF NOTCH3 {}
TF MAP3K5 {}
TF TYROBP {}
TF MATR3 {}
HGF TNF {}
HGF NOTCH3 {}
HGF INS {}
HGF PGRMC1 {}
HGF VAPB {}
HGF MAP3K5 {}
HGF PINK1 {}
TNFRSF21 RELN {}
IGF1R PARK7 {}
IGF1R NOS1 {}
IGF1R TBK1 {}
IGF1R TOMM40 {}
IGF1R VAPB {}
IGF1R PINK1 {}
IGF1R DHCR24 {}
IGF1R PGRMC1 {}
IGF1R RPL6 {}
IGF1R CHMP2B {}
IGF1R PICALM {}
IGF1R TREM2 {}
IGF1R RPS8 {}
IGF1R INSR {}
IGF1R CCNF {}
UBQLN2 APOE {}
UBQLN2 GDNF {}
GDNF PSEN2 {}
GDNF VAPB {}
GDNF VPS35 {}
CD2AP IL6 {}
GSTA4 RELN {}
IGF1 DPYSL2 {}
IGF1 TPI1 {}
IGF1 HNRNPA1 {}
IGF1 RPL23A {}
IGF1 PPARG {}
IGF1 CAMK1G {}
IGF1 GFAP {}
IGF1 HNRNPA2B1 {}
