PINK1 SQSTM1 {}
SQSTM1 RPL14 {}
SQSTM1 MAP2 {}
SQSTM1 NOS3 {}
SQSTM1 ATP5A1 {}
SQSTM1 DRD1 {}
SQSTM1 TPI1 {}
ATXN2 RPL14 {}
ATXN2 VPS35 {}
RPL14 GSTA4 {}
RPL14 OPTN {}
RPL14 DNMT1 {}
RPL14 GAPDHS {}
RPL14 IGF2 {}
RPL14 AMFR {}
RPL14 CAMK1G {}
RPL14 IGF1 {}
RPL14 WWOX {}
RPL14 TF {}
RPL14 BACE1 {}
RPL14 BAX {}
VPS35 GSK3B {}
TBK1 PARK7 {}
PARK7 ESR1 {}
PARK7 CHMP2B {}
PARK7 RPL6 {}
PARK7 A2M {}
PARK7 WWOX {}
RPL23A IDE {}
RPL23A GSK3B {}
RPL23A C9orf72 {}
RPL23A PPARG {}
RPL23A BAX {}
RPL23A TNF {}
RPL23A PICALM {}
RPL23A NOTCH3 {}
C9orf72 BAX {}
C9orf72 IGF1 {}
C9orf72 EIF2S1 {}
C9orf72 SETX {}
PPARG BAX {}
PPARG SNCA {}
PPARG OPTN {}
PPARG GAK {}
PPARG PTGS2 {}
PPARG SETX {}
PPARG GSR {}
BAX PICALM {}
BAX AMFR {}
BAX CAMK1G {}
BAX DNM1L {}
BAX IGF1 {}
PICALM OPTN {}
PICALM NOTCH3 {}
PICALM GSR {}
PICALM PSEN2 {}
PICALM PTGS2 {}
PICALM DNM1L {}
PICALM NCSTN {}
NOTCH3 EPHA4 {}
NOTCH3 PSEN2 {}
NOTCH3 SOD1 {}
NOTCH3 PARK2 {}
NOTCH3 EIF2S1 {}
NOTCH3 PTGS2 {}
NOTCH3 MAP3K5 {}
GSTA4 GSR {}
OPTN PGRMC1 {}
OPTN TREM2 {}
OPTN VCP {}
OPTN ADAM10 {}
OPTN EIF2S1 {}
OPTN MAP3K5 {}
OPTN IGF2R {}
OPTN PARK2 {}
OPTN ENO2 {}
OPTN GAPDHS {}
OPTN DPYSL2 {}
OPTN SORL1 {}
OPTN CALM1 {}
OPTN MAOB {}
OPTN HSPA9 {}
DNMT1 INPP5D {}
DNMT1 IGF2 {}
IGF2 BACE1 {}
IGF2 EIF2S1 {}
IGF2 TF {}
AMFR TALDO1 {}
IGF1 GSR {}
WWOX F2 {}
WWOX SNCA {}
WWOX ESR1 {}
WWOX CHMP2B {}
WWOX EPHA1 {}
WWOX RPL6 {}
WWOX PON1 {}
WWOX BIN1 {}
TF TFAM {}
