PICALM PPARGC1A {}
PPARGC1A WWOX {}
PPARGC1A GDNF {}
PPARGC1A APOC1 {}
PPARGC1A MAP3K5 {}
PPARGC1A IGF2R {}
PPARGC1A EIF2S1 {}
TBK1 WWOX {}
TBK1 TOMM40 {}
WWOX PARK2 {}
WWOX FUS {}
WWOX RELN {}
WWOX CASP3 {}
WWOX PGRMC1 {}
WWOX GAPDHS {}
WWOX VAPB {}
WWOX TFAM {}
WWOX CRH {}
WWOX DCTN1 {}
WWOX OPTN {}
WWOX APOE {}
TOMM40 FBP1 {}
PTGS2 NCSTN {}
NCSTN MAOB {}
NCSTN MAP2 {}
NCSTN ERBB4 {}
NCSTN TNFRSF21 {}
NCSTN CRH {}
A2M PARK7 {}
A2M FBP1 {}
A2M CLU {}
A2M EPHA1 {}
A2M APOE {}
A2M ADAM10 {}
A2M RPL14 {}
A2M CALM1 {}
CLU APOE {}
CLU TFAM {}
CLU BIN1 {}
CLU DPYSL2 {}
EPHA1 APOE {}
EPHA1 CDK5 {}
EPHA1 FUS {}
EPHA1 C9orf72 {}
EPHA1 PON1 {}
EPHA1 DPYSL2 {}
EPHA1 SNCA {}
APOE RPL14 {}
APOE GAPDHS {}
APOE VAPB {}
APOE NOS3 {}
APOE TFAM {}
RPL14 FUS {}
RPL14 CALM1 {}
RPL14 SNCA {}
RPL14 ESR1 {}
RPL14 PON1 {}
RPL14 NOS3 {}
RPL14 ENO2 {}
CALM1 HNRNPA2B1 {}
CALM1 ESR1 {}
CALM1 RPL23A {}
CALM1 IL6 {}
CALM1 BIN1 {}
CALM1 PON1 {}
CALM1 ATXN2 {}
PARK2 SNCA {}
FUS NOTCH3 {}
FUS SOD2 {}
FUS UNC13A {}
FUS GSTM1 {}
FUS BIN1 {}
FUS ATXN2 {}
FUS HNRNPA1 {}
FUS IL6 {}
FUS CCNF {}
FUS CASP3 {}
FUS SETX {}
FUS VPS35 {}
FUS AMFR {}
FUS IL1B {}
FUS VCP {}
RELN TYROBP {}
RELN PGRMC1 {}
PGRMC1 OPTN {}
PGRMC1 BIN1 {}
PGRMC1 DCTN1 {}
GAPDHS TPI1 {}
TFAM SNCA {}
CRH IDE {}
CRH CDK5 {}
CRH MAOB {}
CRH MAP2 {}
CRH HFE {}
CRH ERBB4 {}
CRH LEP {}
CRH BCL2 {}
DCTN1 NOS1 {}
DHCR24 RPS8 {}
DHCR24 NOS1 {}
DHCR24 CDK5 {}
DHCR24 MAPT {}
DHCR24 GAK {}
DHCR24 INS {}
RPS8 CDK5 {}
RPS8 NOS1 {}
RPS8 INS {}
RPS8 SNCA {}
RPS8 MAPT {}
RPS8 GAK {}
RPS8 APOC1 {}
RPS8 HLA-DRA {}
RPS8 TNFRSF21 {}
RPS8 DRD1 {}
NOS1 CDK5 {}
NOS1 UBQLN2 {}
NOS1 GAK {}
NOS1 MAPT {}
NOS1 INS {}
NOS1 TNF {}
CDK5 MAP3K5 {}
CDK5 APOC1 {}
CDK5 C9orf72 {}
CDK5 INPP5D {}
CDK5 LRRK2 {}
CDK5 GAK {}
CDK5 MAPT {}
CDK5 INS {}
MAPT INS {}
MAPT BDNF {}
MAPT F2 {}
MAPT GAK {}
GAK INS {}
INS DNMT1 {}
INS GSR {}
INS TNF {}
INS IGF2 {}
INS MAP3K5 {}
INS BIN1 {}
INS DNM1L {}
INS INPP5D {}
INS PSEN2 {}
INS BACE1 {}
CD2AP MTHFR {}
MTHFR TALDO1 {}
MTHFR SORL1 {}
TPI1 SQSTM1 {}
GFAP TF {}
GFAP HSPA9 {}
GFAP ENO1 {}
GFAP TARDBP {}
TF TP53 {}
HSPA9 TALDO1 {}
ENO1 RPL6 {}
TARDBP BAX {}
TARDBP SIGMAR1 {}
TARDBP HSPA1A {}
MAP3K5 SETX {}
APOC1 BIN1 {}
APOC1 IL1B {}
C9orf72 CCNF {}
C9orf72 VCP {}
LRRK2 EPHA4 {}
LRRK2 PSEN2 {}
TALDO1 UNC13A {}
TALDO1 HGF {}
TALDO1 SOD1 {}
HGF SOD1 {}
HGF SORL1 {}
SOD1 SORL1 {}
MATR3 GSTA4 {}
MATR3 HMOX1 {}
GSTA4 PSEN2 {}
GSTA4 IGF2 {}
