IGF2 HMOX1 {}
HMOX1 TYROBP {}
HMOX1 GSK3B {}
HMOX1 PGRMC1 {}
HMOX1 SQSTM1 {}
HMOX1 NCSTN {}
HMOX1 A2M {}
RPL6 TYROBP {}
RPL6 HSPA9 {}
TYROBP CCNF {}
TYROBP CD2AP {}
TYROBP SETX {}
TYROBP FBP1 {}
TYROBP IL6 {}
TYROBP MATR3 {}
TYROBP TF {}
TYROBP PARK7 {}
TYROBP HSPA1A {}
TYROBP HNRNPA2B1 {}
TYROBP GSR {}
TYROBP GAPDHS {}
HSPA9 MTHFR {}
TNFRSF21 IGF1R {}
IGF1R DPYSL2 {}
IGF1R GSTA4 {}
IGF1R PINK1 {}
IGF1R NOS3 {}
IGF1R HSPA1A {}
LRRK2 MAOB {}
LRRK2 MTHFR {}
LRRK2 GSTM1 {}
LRRK2 SOD2 {}
LRRK2 GAPDHS {}
LRRK2 DCTN1 {}
LRRK2 HLA-DRA {}
LRRK2 HGF {}
GSTM1 GAPDHS {}
GSTM1 PARK7 {}
GSTM1 IGF1 {}
GSTM1 PTGS2 {}
SOD2 GAPDHS {}
SOD2 CLU {}
SOD2 CD2AP {}
SOD2 RELN {}
SOD2 EIF2S1 {}
SOD2 PTGS2 {}
SOD2 HNRNPA1 {}
GAPDHS HLA-DRA {}
GAPDHS MATR3 {}
GAPDHS TF {}
GAPDHS TPI1 {}
GAPDHS PARK7 {}
HLA-DRA CD2AP {}
HLA-DRA HGF {}
HLA-DRA HNRNPA1 {}
HLA-DRA PICALM {}
HLA-DRA EIF2S1 {}
HLA-DRA TPI1 {}
HLA-DRA BAX {}
HGF SIGMAR1 {}
HGF PICALM {}
HGF DHCR24 {}
HGF CDK5 {}
HGF IGF1 {}
HGF EIF2S1 {}
HGF OPTN {}
CCNF HNRNPA1 {}
CD2AP PPARG {}
CD2AP F2 {}
CD2AP GAK {}
CD2AP NQO1 {}
CD2AP IGF1 {}
CD2AP OPTN {}
CD2AP TARDBP {}
CD2AP CDK5 {}
CD2AP ERBB4 {}
CD2AP FBP1 {}
CD2AP EPHA4 {}
CD2AP AMFR {}
CD2AP DPP6 {}
CD2AP RPL14 {}
CD2AP UNC13A {}
SETX PARK2 {}
SETX IL6 {}
IL6 GSR {}
IL6 IGF1 {}
IL6 HNRNPA2B1 {}
MATR3 DNM1L {}
PARK7 HNRNPA1 {}
HSPA1A MAP3K5 {}
HSPA1A CLU {}
HSPA1A DPYSL2 {}
HSPA1A GSTA4 {}
HSPA1A TFAM {}
HSPA1A PINK1 {}
HSPA1A BCL2 {}
HSPA1A BAG5 {}
HNRNPA2B1 ADAM10 {}
LEP VPS35 {}
LEP ADAM10 {}
LEP CLU {}
LEP FUS {}
LEP PON1 {}
LEP TP53 {}
VPS35 CLU {}
VPS35 ADAM10 {}
VPS35 TP53 {}
VPS35 HNRNPA1 {}
VPS35 FUS {}
VPS35 PON1 {}
