CDK5 GAPDHS {}
GAPDHS IGF1R {}
GAPDHS NOS1 {}
GAPDHS IGF1 {}
GAPDHS HLA-DRA {}
GAPDHS RELN {}
GAPDHS PPARGC1A {}
HSPA9 IGF1R {}
HSPA9 APOE {}
IGF1R VAPB {}
IGF1R HSPA1A {}
IGF1R PSEN2 {}
IGF1R NOTCH3 {}
IGF1R C9orf72 {}
IGF1R NCSTN {}
IGF1R BCL2 {}
IGF1R PSEN1 {}
IGF1R GSTA4 {}
IGF1R SQSTM1 {}
IGF1R VCP {}
IGF1R OPTN {}
APOE NQO1 {}
PARK2 PPARG {}
PPARG HTRA1 {}
PPARG GSK3B {}
PPARG DNM1L {}
PPARG NGF {}
PPARG GSTA4 {}
HLA-DRB5 INSR {}
HLA-DRB5 NQO1 {}
HLA-DRB5 IGF2 {}
HLA-DRB5 GPX1 {}
HLA-DRB5 OPTN {}
HLA-DRB5 F2 {}
HLA-DRB5 FBP1 {}
HLA-DRB5 IGF2R {}
IGF2 OPTN {}
IGF2 PSEN1 {}
IGF2 NOS3 {}
IGF2 RPL6 {}
GPX1 OPTN {}
GPX1 PGRMC1 {}
GPX1 HSPA1A {}
GPX1 ENO1 {}
GPX1 HNRNPA2B1 {}
GPX1 RPL6 {}
GPX1 MTHFR {}
OPTN FBP1 {}
OPTN NCSTN {}
OPTN BCL2 {}
OPTN MAOB {}
OPTN PSEN1 {}
FBP1 HSPA1A {}
FBP1 IGF2R {}
FBP1 MTHFR {}
FBP1 MATR3 {}
FBP1 HNRNPA2B1 {}
FBP1 MAOB {}
FBP1 PON1 {}
IGF2R INPP5D {}
IGF2R MATR3 {}
IGF2R GSTM1 {}
IGF2R RPL23A {}
IGF2R NOS3 {}
IGF2R HNRNPA2B1 {}
IGF2R WWOX {}
VAPB MTHFR {}
HSPA1A EWSR1 {}
HSPA1A TYROBP {}
HSPA1A BIN1 {}
HSPA1A TPI1 {}
HSPA1A NOS3 {}
HSPA1A WWOX {}
HSPA1A CD2AP {}
HSPA1A RPL23A {}
HSPA1A RPL14 {}
HSPA1A NOTCH3 {}
HSPA1A PARK7 {}
HSPA1A DHCR24 {}
HSPA1A DPYSL2 {}
HSPA1A UNC13A {}
HSPA1A BAG5 {}
PSEN2 MAP3K5 {}
PSEN2 C9orf72 {}
C9orf72 VCP {}
C9orf72 NOS3 {}
C9orf72 SQSTM1 {}
NCSTN BDNF {}
PSEN1 MTHFR {}
GSTA4 CAMK1G {}
GSTA4 PGRMC1 {}
GSTA4 HTRA1 {}
GSTA4 GSK3B {}
GSTA4 RPS8 {}
GSTA4 DNM1L {}
GSTA4 SNCA {}
GSTA4 SORL1 {}
SQSTM1 AMFR {}
SOD2 ATXN2 {}
SOD2 AMFR {}
SOD2 PGRMC1 {}
SOD2 TP53 {}
SOD2 TBK1 {}
SOD2 DRD1 {}
ATXN2 PGRMC1 {}
ATXN2 AMFR {}
ATXN2 DRD1 {}
ATXN2 MTHFR {}
ATXN2 TP53 {}
ATXN2 TBK1 {}
