GDNF HFE {}
HFE GFAP {}
HFE NQO1 {}
HFE PPARGC1A {}
HFE TBK1 {}
HFE NOTCH3 {}
HFE HNRNPA2B1 {}
SNCA GFAP {}
SNCA APOE {}
GFAP MAP3K5 {}
GFAP CASP3 {}
GFAP BCL2 {}
GFAP NOS1 {}
GFAP VAPB {}
GFAP ESR1 {}
GFAP NCSTN {}
GFAP PARK2 {}
GFAP VCP {}
GFAP PGRMC1 {}
GFAP HSPA9 {}
GFAP HNRNPA1 {}
APOE INPP5D {}
EPHA4 CD2AP {}
CD2AP IDE {}
CD2AP LEP {}
CD2AP IGF2R {}
CD2AP VPS35 {}
CD2AP VCP {}
SETX RPS8 {}
SETX INPP5D {}
SETX IGF1R {}
SETX APP {}
SETX HNRNPA1 {}
SETX MAPT {}
SETX CALM1 {}
SETX EWSR1 {}
IGF1R HNRNPA1 {}
IGF1R PARK2 {}
IGF1R C9orf72 {}
IGF1R BACE1 {}
APP HNRNPA1 {}
APP GSTA4 {}
APP CASP3 {}
APP CRH {}
APP INSR {}
APP BACE1 {}
APP CCNF {}
HNRNPA1 CALM1 {}
HNRNPA1 ESR1 {}
HNRNPA1 NCSTN {}
HNRNPA1 TFAM {}
HNRNPA1 PARK2 {}
CALM1 CASP3 {}
CALM1 EWSR1 {}
CALM1 CCNF {}
CALM1 CLU {}
CALM1 INSR {}
CALM1 TFAM {}
CALM1 PICALM {}
EWSR1 UBQLN2 {}
EWSR1 CLU {}
EWSR1 MAOB {}
EWSR1 DCTN1 {}
EWSR1 C9orf72 {}
EWSR1 INSR {}
EWSR1 BAX {}
MAP3K5 CCNF {}
CASP3 SORL1 {}
CASP3 HTRA1 {}
CASP3 TNFRSF21 {}
CASP3 IL1B {}
CASP3 C9orf72 {}
CASP3 BAX {}
CASP3 DNMT1 {}
CASP3 DCTN1 {}
CASP3 GPX1 {}
CASP3 NOS1 {}
CASP3 PSEN1 {}
CASP3 DHCR24 {}
CASP3 AMFR {}
CASP3 HSPA1A {}
CASP3 DRD1 {}
BCL2 MATR3 {}
BCL2 VAPB {}
VAPB HSPA9 {}
VAPB C9orf72 {}
VAPB PGRMC1 {}
ESR1 CHMP2B {}
PARK2 CCNF {}
