INS SORL1 {}
SORL1 TFAM {}
SORL1 CD2AP {}
SORL1 ADAM10 {}
SORL1 GSTM1 {}
SORL1 RELN {}
SORL1 DCTN1 {}
GAK TFAM {}
GAK C9orf72 {}
TFAM DNM1L {}
TFAM GSTA4 {}
TFAM TALDO1 {}
TFAM DNMT1 {}
TFAM BIN1 {}
TFAM BACE1 {}
TFAM NOTCH3 {}
TFAM SQSTM1 {}
TFAM BCL2 {}
TFAM IGF2R {}
TFAM GDNF {}
TFAM GAPDHS {}
C9orf72 HMOX1 {}
HNRNPA1 NOS3 {}
NOS3 NCSTN {}
NOS3 SETX {}
NOS3 GSK3B {}
NOS3 MTHFR {}
NOS3 BCL2 {}
BDNF ATXN2 {}
BDNF HMOX1 {}
BDNF INPP5D {}
BDNF PON1 {}
BDNF GAPDHS {}
BDNF APP {}
BDNF TOMM40 {}
BDNF RPL6 {}
INPP5D GAPDHS {}
INPP5D SQSTM1 {}
INPP5D DPP6 {}
INPP5D HLA-DRA {}
PON1 GAPDHS {}
PON1 PINK1 {}
PON1 GSTA4 {}
PON1 HSPA1A {}
PON1 MAPT {}
PON1 HLA-DRA {}
PON1 ENO2 {}
GAPDHS TOMM40 {}
GAPDHS BACE1 {}
GAPDHS NOTCH3 {}
GAPDHS UBQLN2 {}
GAPDHS SQSTM1 {}
TOMM40 GSTA4 {}
TOMM40 RPL6 {}
TOMM40 ENO2 {}
TOMM40 RPL14 {}
TOMM40 MAPT {}
TOMM40 UBQLN2 {}
TOMM40 HNRNPA2B1 {}
RPL6 CDK5 {}
RPL6 RPL14 {}
RPL6 PARK7 {}
RPL6 SOD1 {}
RPL6 DPP6 {}
RPL6 MAPT {}
RPL6 MAP3K5 {}
DNM1L ENO2 {}
GSTA4 IL1B {}
GSTA4 NGF {}
GSTA4 GFAP {}
GSTA4 PARK2 {}
GSTA4 DPP6 {}
GSTA4 MAP3K5 {}
GSTA4 ENO1 {}
GSTA4 SOD1 {}
GSTA4 DHCR24 {}
GSTA4 DNMT1 {}
GSTA4 EWSR1 {}
GSTA4 IGF2 {}
GSTA4 IGF1 {}
GSTA4 PICALM {}
GSTA4 VCP {}
TALDO1 LEP {}
TALDO1 BIN1 {}
BIN1 GDNF {}
BIN1 DPP6 {}
BIN1 IGF2R {}
BACE1 SIGMAR1 {}
SQSTM1 ENO2 {}
BCL2 CRH {}
BCL2 PINK1 {}
BCL2 NCSTN {}
BCL2 SETX {}
BCL2 CCNF {}
BCL2 GSK3B {}
BCL2 CHMP2B {}
BCL2 CAMK1G {}
IGF2R HGF {}
DRD1 A2M {}
DRD1 HGF {}
DRD1 PINK1 {}
DRD1 VAPB {}
DRD1 SNCA {}
DRD1 HFE {}
A2M PINK1 {}
A2M HGF {}
A2M HFE {}
