APOC1 HLA-DRA {}
HLA-DRA BAX {}
HLA-DRA OPTN {}
HLA-DRA APOE {}
HLA-DRA HSPA1A {}
HLA-DRA GSTM1 {}
HLA-DRA NOS1 {}
RPS8 BAX {}
RPS8 NGF {}
BAX IL6 {}
BAX GPX1 {}
BAX INS {}
BAX DRD1 {}
BAX CD2AP {}
BAX UBQLN2 {}
BAX SNCA {}
BAX TBK1 {}
BAX DPYSL2 {}
BAX EPHA4 {}
BAX TFAM {}
BAX NCSTN {}
NGF TOMM40 {}
PSEN1 UNC13A {}
UNC13A EIF2S1 {}
UNC13A GSK3B {}
UNC13A GDNF {}
UNC13A FUS {}
UNC13A DPYSL2 {}
TNFRSF21 SIGMAR1 {}
TNFRSF21 TOMM40 {}
TNFRSF21 C9orf72 {}
TNFRSF21 BACE1 {}
TNFRSF21 NCSTN {}
TNFRSF21 TALDO1 {}
TNFRSF21 ADAM10 {}
TNFRSF21 IGF2 {}
C9orf72 NCSTN {}
C9orf72 TBK1 {}
C9orf72 AMFR {}
C9orf72 HTRA1 {}
BACE1 NCSTN {}
BACE1 TP53 {}
BACE1 GPX1 {}
BACE1 PTGS2 {}
BACE1 MATR3 {}
BACE1 HTRA1 {}
BACE1 GAK {}
NCSTN ADAM10 {}
NCSTN UBQLN2 {}
NCSTN SNCA {}
NCSTN LEP {}
NCSTN TBK1 {}
ADAM10 GPX1 {}
ADAM10 IGF2 {}
ADAM10 GAK {}
ADAM10 CDK5 {}
ADAM10 MATR3 {}
ADAM10 LEP {}
ADAM10 IDE {}
IGF2 HNRNPA1 {}
IGF2 CDK5 {}
IGF2 ERBB4 {}
IGF2 IGF2R {}
IGF2 AMFR {}
IGF2 MATR3 {}
IGF2 HGF {}
IL6 GAK {}
GPX1 F2 {}
GPX1 RELN {}
GPX1 GAPDHS {}
GPX1 SORL1 {}
GPX1 AMFR {}
GPX1 HGF {}
GPX1 NOS3 {}
GPX1 IGF2R {}
GPX1 IGF1R {}
GPX1 DRD1 {}
GPX1 INSR {}
GPX1 PARK7 {}
