LEP NQO1 {}
NQO1 MAP2 {}
NQO1 TOMM40 {}
NQO1 APOE {}
NQO1 PSEN2 {}
NQO1 IGF1R {}
NQO1 PGRMC1 {}
EPHA1 MAP2 {}
EPHA1 GPX1 {}
MAP2 WWOX {}
MAP2 INS {}
MAP2 CRH {}
MAP2 NCSTN {}
MAP2 CDK5 {}
MAP2 HLA-DRB5 {}
MAP2 TYROBP {}
MAP2 HTRA1 {}
MAP2 VAPB {}
MAP2 IL1B {}
MAP2 PARK2 {}
MAP2 HLA-DRA {}
GPX1 TPI1 {}
FBP1 HFE {}
HFE DNMT1 {}
HFE TFAM {}
HFE MAP3K5 {}
HFE GSTM1 {}
HFE VAPB {}
PPARGC1A NOS1 {}
PPARGC1A TPI1 {}
PPARGC1A TARDBP {}
PPARGC1A RPL23A {}
PPARGC1A HLA-DRA {}
PPARGC1A SORL1 {}
PPARGC1A ERBB4 {}
PPARGC1A BAG5 {}
TARDBP HLA-DRA {}
TARDBP HTRA1 {}
TARDBP GAPDHS {}
TARDBP RELN {}
RPL23A HLA-DRA {}
RPL23A APOC1 {}
RPL23A INS {}
RPL23A NOTCH3 {}
RPL23A PTGS2 {}
RPL23A RELN {}
RPL23A TREM2 {}
HLA-DRA ERBB4 {}
HLA-DRA HLA-DRB5 {}
HLA-DRA TYROBP {}
HLA-DRA APP {}
HLA-DRA HTRA1 {}
ERBB4 INS {}
ERBB4 BAG5 {}
ERBB4 TREM2 {}
ERBB4 DRD1 {}
ERBB4 PTGS2 {}
ERBB4 APP {}
ERBB4 OPTN {}
BAG5 DPYSL2 {}
BAG5 DRD1 {}
BAG5 SETX {}
BAG5 EWSR1 {}
BAG5 GAPDHS {}
BAG5 PTGS2 {}
BAG5 ADAM10 {}
WWOX TREM2 {}
INS MAPT {}
INS ENO2 {}
INS GFAP {}
INS PICALM {}
INS GAPDHS {}
INS ADAM10 {}
INS F2 {}
INS EWSR1 {}
INS CD2AP {}
INS NCSTN {}
INS INPP5D {}
INS DHCR24 {}
INS ATXN2 {}
INS CALM1 {}
INS SQSTM1 {}
CRH INSR {}
CRH CDK5 {}
CDK5 PARK2 {}
CDK5 GAPDHS {}
CDK5 IL1B {}
HLA-DRB5 EPHA4 {}
HTRA1 TREM2 {}
VAPB CCNF {}
VAPB APOC1 {}
VAPB DNMT1 {}
VAPB TFAM {}
VAPB SNCA {}
VAPB MAP3K5 {}
VAPB HNRNPA1 {}
VAPB RPS8 {}
IL1B TNFRSF21 {}
TP53 HMOX1 {}
TP53 TNFRSF21 {}
TP53 APOC1 {}
TP53 FUS {}
TP53 A2M {}
TP53 HGF {}
HMOX1 APOC1 {}
HMOX1 TNFRSF21 {}
HMOX1 HGF {}
HMOX1 TREM2 {}
HMOX1 FUS {}
HMOX1 A2M {}
HMOX1 APOE {}
HMOX1 LRRK2 {}
HMOX1 GSTM1 {}
HMOX1 TNF {}
TNFRSF21 APOC1 {}
TNFRSF21 RPL6 {}
TNFRSF21 A2M {}
TNFRSF21 FUS {}
TNFRSF21 HGF {}
TNFRSF21 IGF2R {}
APOC1 PSEN2 {}
APOC1 APOE {}
APOC1 NOTCH3 {}
APOC1 C9orf72 {}
APOC1 GAK {}
APOC1 A2M {}
APOC1 FUS {}
APOC1 HGF {}
FUS HGF {}
FUS IGF1 {}
FUS CLU {}
FUS A2M {}
A2M HGF {}
HGF CASP3 {}
HGF PON1 {}
HGF IGF2R {}
HGF IL6 {}
HGF PSEN2 {}
HGF GAPDHS {}
HGF GDNF {}
HGF C9orf72 {}
HGF PINK1 {}
HGF CAMK1G {}
BACE1 DNM1L {}
DNM1L TBK1 {}
DNM1L PSEN1 {}
EPHA4 CHMP2B {}
BIN1 EIF2S1 {}
BIN1 BAX {}
BIN1 ATP5A1 {}
BIN1 HSPA9 {}
EIF2S1 ESR1 {}
BAX TBK1 {}
ATP5A1 SIGMAR1 {}
HSPA9 MTHFR {}
HSPA9 UNC13A {}
HSPA9 ENO1 {}
PSEN2 INPP5D {}
APOE GAPDHS {}
APOE CALM1 {}
NOTCH3 CD2AP {}
NOTCH3 SQSTM1 {}
GAK TALDO1 {}
GAK PINK1 {}
TBK1 GFAP {}
