TF MAOB {}
MAOB AMFR {}
MAOB MAPT {}
MAOB MAP2 {}
MAOB SOD1 {}
MAOB GSR {}
MAOB SIGMAR1 {}
TOMM40 AMFR {}
TOMM40 PSEN2 {}
AMFR BAX {}
AMFR TYROBP {}
AMFR SORL1 {}
AMFR CAMK1G {}
AMFR MAP3K5 {}
AMFR CALM1 {}
AMFR BAG5 {}
AMFR GSK3B {}
AMFR IGF2R {}
AMFR ENO2 {}
AMFR NOS3 {}
AMFR GAPDHS {}
PSEN2 IDE {}
EPHA4 MATR3 {}
MATR3 HGF {}
MATR3 HFE {}
MATR3 DNM1L {}
MATR3 IL1B {}
MATR3 IGF2R {}
VCP UBQLN2 {}
VCP IDE {}
VCP GDNF {}
VCP HSPA9 {}
VCP GAPDHS {}
VCP BIN1 {}
VCP VPS35 {}
VCP ERBB4 {}
GDNF GAPDHS {}
GDNF GSK3B {}
GDNF TALDO1 {}
GDNF BCL2 {}
HSPA9 GAPDHS {}
HSPA9 IGF1 {}
HSPA9 TYROBP {}
HSPA9 DPP6 {}
HSPA9 OPTN {}
HSPA9 BCL2 {}
HSPA9 IL6 {}
GAPDHS VPS35 {}
GAPDHS CALM1 {}
GAPDHS BAG5 {}
GAPDHS TP53 {}
GAPDHS GSK3B {}
VPS35 TYROBP {}
VPS35 ERBB4 {}
VPS35 IL6 {}
VPS35 TNFRSF21 {}
VPS35 OPTN {}
VPS35 TP53 {}
VPS35 DHCR24 {}
ERBB4 EWSR1 {}
ERBB4 TNFRSF21 {}
ERBB4 PGRMC1 {}
ERBB4 ENO1 {}
ERBB4 TALDO1 {}
ERBB4 OPTN {}
ERBB4 RPL6 {}
BAX IL6 {}
TYROBP NOS1 {}
TYROBP CDK5 {}
TYROBP LEP {}
TYROBP HTRA1 {}
TYROBP TALDO1 {}
TYROBP RPL6 {}
TYROBP FBP1 {}
TYROBP ENO1 {}
TYROBP IGF1R {}
TYROBP CAMK1G {}
TYROBP PINK1 {}
TYROBP TREM2 {}
TYROBP MTHFR {}
TYROBP GSTM1 {}
TYROBP EIF2S1 {}
SORL1 CLU {}
SORL1 MAP3K5 {}
MAP3K5 NOS3 {}
MAP3K5 TALDO1 {}
MAP3K5 ENO2 {}
CALM1 PARK7 {}
GSK3B IL6 {}
IGF2R IGF2 {}
IGF2R IGF1 {}
IGF2R HGF {}
IGF2R HFE {}
IGF2R FUS {}
IGF2R DNM1L {}
IGF2R CCNF {}
IGF2R VAPB {}
ENO2 A2M {}
PPARGC1A SQSTM1 {}
PPARGC1A A2M {}
PPARGC1A IGF1 {}
PPARGC1A DRD1 {}
PPARGC1A INSR {}
PPARGC1A PICALM {}
SQSTM1 IGF1 {}
SQSTM1 A2M {}
SQSTM1 PICALM {}
SQSTM1 IL6 {}
SQSTM1 DRD1 {}
SQSTM1 INSR {}
SQSTM1 MAP2 {}
SQSTM1 TNF {}
SQSTM1 IL1B {}
SQSTM1 ADAM10 {}
A2M IGF1 {}
A2M APOC1 {}
A2M INSR {}
A2M DRD1 {}
A2M PICALM {}
A2M HNRNPA1 {}
IGF1 SOD1 {}
IGF1 MAP2 {}
IGF1 DPP6 {}
IGF1 HNRNPA2B1 {}
IGF1 WWOX {}
IGF1 INSR {}
IGF1 DRD1 {}
IGF1 PICALM {}
DRD1 PICALM {}
DRD1 EPHA1 {}
DRD1 DPYSL2 {}
DRD1 INSR {}
INSR PICALM {}
PICALM TPI1 {}
PICALM PPARG {}
PICALM HNRNPA1 {}
PICALM RPS8 {}
PICALM SOD1 {}
PICALM TALDO1 {}
PICALM UNC13A {}
PICALM HNRNPA2B1 {}
PICALM HSPA1A {}
PICALM DCTN1 {}
RPL14 HLA-DRB5 {}
HLA-DRB5 RPL23A {}
HLA-DRB5 NOTCH3 {}
PARK7 F2 {}
HLA-DRA ESR1 {}
HLA-DRA PARK2 {}
HLA-DRA INS {}
HLA-DRA GSTA4 {}
ESR1 RELN {}
PARK2 RPL23A {}
INS GFAP {}
GSTA4 APOE {}
GSTA4 TBK1 {}
GSTA4 CASP3 {}
SOD1 PINK1 {}
MAP2 TALDO1 {}
MAP2 GSTM1 {}
DPP6 IGF1R {}
DPP6 EIF2S1 {}
WWOX ATP5A1 {}
WWOX HSPA1A {}
RPL23A LEP {}
