CDK5 SOD1 {}
SOD1 TP53 {}
SOD1 TPI1 {}
SOD1 INS {}
SOD1 ESR1 {}
SOD1 CHMP2B {}
SOD1 HSPA9 {}
PPARGC1A TP53 {}
PPARGC1A TBK1 {}
TP53 TNF {}
TP53 TYROBP {}
TP53 UNC13A {}
TP53 MAOB {}
TP53 IGF2 {}
TP53 TALDO1 {}
TP53 PSEN1 {}
TP53 RPL6 {}
TP53 TREM2 {}
TP53 MAP3K5 {}
TP53 DHCR24 {}
TP53 CLU {}
TBK1 HGF {}
HMOX1 APOC1 {}
APOC1 DPYSL2 {}
APOC1 C9orf72 {}
APOC1 PSEN2 {}
APOC1 SOD2 {}
APOC1 TREM2 {}
RPL14 GSR {}
RPL14 HGF {}
RPL14 PGRMC1 {}
RPL14 DCTN1 {}
RPL14 CLU {}
RPL14 ATP5A1 {}
RPL14 MAPT {}
RPL14 CALM1 {}
PGRMC1 CLU {}
PGRMC1 RPL6 {}
PGRMC1 FBP1 {}
PGRMC1 NCSTN {}
DCTN1 CLU {}
DCTN1 FUS {}
DCTN1 TYROBP {}
DCTN1 HLA-DRA {}
DCTN1 APOE {}
DCTN1 NCSTN {}
DCTN1 VAPB {}
CLU MAPT {}
CLU TALDO1 {}
CLU PSEN1 {}
CLU TNFRSF21 {}
CLU RPL6 {}
MAPT TYROBP {}
MAPT CALM1 {}
MAPT VAPB {}
MAPT TF {}
MAPT APOE {}
MAPT TNFRSF21 {}
MAPT IGF2R {}
CALM1 ENO1 {}
CALM1 TF {}
CALM1 HTRA1 {}
CALM1 PINK1 {}
CALM1 FBP1 {}
CALM1 APOE {}
CALM1 DRD1 {}
TNF VAPB {}
TYROBP PARK7 {}
TYROBP F2 {}
TYROBP SORL1 {}
TYROBP PICALM {}
TYROBP FBP1 {}
TYROBP DRD1 {}
TYROBP CAMK1G {}
TYROBP PINK1 {}
TYROBP HFE {}
TYROBP MAOB {}
TYROBP HNRNPA2B1 {}
TYROBP PPARG {}
TYROBP GAK {}
TYROBP TFAM {}
TYROBP IGF1 {}
UNC13A IDE {}
UNC13A IGF2 {}
IGF2 DHCR24 {}
IGF2 FBP1 {}
IGF2 MAP3K5 {}
TALDO1 IGF1R {}
RPL6 VAPB {}
TREM2 HSPA1A {}
TREM2 FUS {}
TREM2 DPYSL2 {}
TREM2 C9orf72 {}
TREM2 BDNF {}
TREM2 PSEN2 {}
TREM2 UBQLN2 {}
TREM2 VPS35 {}
MAP3K5 RELN {}
TOMM40 WWOX {}
TOMM40 RELN {}
TOMM40 FUS {}
TOMM40 NOS3 {}
TOMM40 BAG5 {}
TOMM40 RPL23A {}
WWOX FUS {}
WWOX RELN {}
WWOX RPL23A {}
WWOX VAPB {}
WWOX NOS3 {}
WWOX BAG5 {}
WWOX INS {}
WWOX A2M {}
WWOX SOD2 {}
WWOX VCP {}
RELN FUS {}
RELN INSR {}
RELN BAG5 {}
RELN NOS3 {}
RELN RPL23A {}
RELN CRH {}
FUS ESR1 {}
FUS INS {}
FUS HLA-DRA {}
FUS MAP2 {}
FUS IL1B {}
FUS BAG5 {}
FUS NOS3 {}
FUS RPL23A {}
NOS3 RPL23A {}
NOS3 TARDBP {}
NOS3 GFAP {}
NOS3 BAG5 {}
BAG5 RPL23A {}
RPL23A AMFR {}
RPL23A ERBB4 {}
RPL23A CRH {}
RPL23A EWSR1 {}
RPL23A ESR1 {}
RPL23A FBP1 {}
RPL23A NGF {}
RPL23A MAP2 {}
RPL23A OPTN {}
RPL23A DPP6 {}
EPHA1 APP {}
APP MATR3 {}
APP LEP {}
IGF1R ATXN2 {}
PON1 PARK2 {}
PON1 LRRK2 {}
PON1 GPX1 {}
PON1 SIGMAR1 {}
PARK2 DNM1L {}
LRRK2 MATR3 {}
GPX1 EIF2S1 {}
SIGMAR1 GSTM1 {}
SIGMAR1 GSK3B {}
SIGMAR1 BIN1 {}
ESR1 HNRNPA2B1 {}
INS FBP1 {}
INS TFAM {}
HLA-DRA HFE {}
HLA-DRA IGF1 {}
IL1B SQSTM1 {}
IL1B OPTN {}
MATR3 SORL1 {}
MATR3 CD2AP {}
MATR3 GDNF {}
CD2AP GDNF {}
CD2AP LEP {}
GDNF LEP {}
NOTCH3 PTGS2 {}
NOTCH3 CASP3 {}
PTGS2 OPTN {}
PTGS2 EWSR1 {}
PTGS2 EPHA4 {}
PTGS2 CASP3 {}
PTGS2 ENO2 {}
CASP3 EPHA4 {}
CASP3 ENO2 {}
CRH TARDBP {}
CRH OPTN {}
CRH SETX {}
CRH APOE {}
AMFR OPTN {}
AMFR EWSR1 {}
AMFR ERBB4 {}
AMFR DNMT1 {}
AMFR CCNF {}
AMFR DNM1L {}
OPTN DNMT1 {}
OPTN ERBB4 {}
OPTN NGF {}
OPTN FBP1 {}
OPTN ADAM10 {}
OPTN GAPDHS {}
EWSR1 DNMT1 {}
EWSR1 ERBB4 {}
EWSR1 NGF {}
ERBB4 ENO2 {}
ERBB4 NGF {}
SQSTM1 INPP5D {}
INPP5D GSTA4 {}
IDE BDNF {}
PARK7 FBP1 {}
PARK7 PINK1 {}
PARK7 RPS8 {}
FBP1 TARDBP {}
FBP1 GAK {}
PINK1 C9orf72 {}
DPYSL2 BDNF {}
BDNF C9orf72 {}
BDNF HNRNPA1 {}
BDNF UBQLN2 {}
BDNF IL6 {}
BDNF PSEN2 {}
C9orf72 PSEN2 {}
DRD1 TARDBP {}
DRD1 SNCA {}
