Target,Dataset,Model,ACC,PRE,REC,F1,AUC,CM,TN,FP,FN,TP,Specificity,Sensitivity
PET&DX,AD STRING,Random Forest,0.71875,0.666666666666667,1,0.8,0.755952380952381,"[[ 5  9], [ 0 18]]",4,10,2,16,0.8888888889,0.2857142857
PET&DX,AD STRING,SVM Linear,0.5625,0.576923076923077,0.833333333333333,0.681818181818182,0.650793650793651,"[[ 3 11], [ 3 15]]",3,11,3,15,0.8333333333,0.2142857143
PET&DX,AD STRING,SVM RBF,0.59375,0.592592592592593,0.888888888888889,0.711111111111111,0.678571428571429,"[[ 3 11], [ 2 16]]",4,10,2,16,0.8888888889,0.2857142857
PET&DX,AD STRING,Logistic Regression,0.5625,0.576923076923077,0.833333333333333,0.681818181818182,0.595238095238095,"[[ 3 11], [ 3 15]]",3,11,3,15,0.8333333333,0.2142857143
PET&DX,AD STRING,Random Forest,0.625,0.615384615384615,0.888888888888889,0.727272727272727,0.738095238095238,"[[ 4 10], [ 2 16]]",4,10,0,18,1,0.2857142857
PET&DX,AD STRING,SVM Linear,0.5625,0.571428571428571,0.888888888888889,0.695652173913043,0.654761904761905,"[[ 2 12], [ 2 16]]",2,11,3,15,0.8333333333,0.2142857143
PET&DX,AD STRING,SVM RBF,0.625,0.615384615384615,0.888888888888889,0.727272727272727,0.670634920634921,"[[ 4 10], [ 2 16]]",4,14,0,18,1,0
PET&DX,AD STRING,Logistic Regression,0.5625,0.576923076923077,0.833333333333333,0.681818181818182,0.595238095238095,"[[ 3 11], [ 3 15]]",3,11,3,15,0.8333333333,0.2142857143
PET&DX,AD STRING,Random Forest,0.6875,0.642857142857143,1,0.782608695652174,0.720238095238095,"[[ 4 10], [ 0 18]]",5,9,1,17,0.9444444444,0.3571428571
PET&DX,AD STRING,SVM Linear,0.5625,0.571428571428571,0.888888888888889,0.695652173913043,0.654761904761905,"[[ 2 12], [ 2 16]]",2,12,2,16,0.8888888889,0.1428571429
PET&DX,AD STRING,SVM RBF,0.625,0.615384615384615,0.888888888888889,0.727272727272727,0.674603174603175,"[[ 4 10], [ 2 16]]",3,11,2,16,0.8888888889,0.2142857143
PET&DX,AD STRING,Logistic Regression,0.5625,0.576923076923077,0.833333333333333,0.681818181818182,0.595238095238095,"[[ 3 11], [ 3 15]]",3,11,3,15,0.8333333333,0.2142857143
PET&DX,"AD STRING
No APOE",Random Forest,0.53125,0.565217391304348,0.722222222222222,0.634146341463415,0.511904761904762,"[[ 4 10], [ 5 13]]",3,11,5,13,0.7222222222,0.2142857143
PET&DX,"AD STRING
No APOE",SVM Linear,0.5625,0.5625,1,0.72,0.448412698412698,"[[ 0 14], [ 0 18]]",0,14,0,18,1,0
PET&DX,"AD STRING
No APOE",SVM RBF,0.59375,0.586206896551724,0.944444444444444,0.723404255319149,0.476190476190476,"[[ 2 12], [ 1 17]]",0,14,0,18,1,0
PET&DX,"AD STRING
No APOE",Logistic Regression,0.5,0.541666666666667,0.722222222222222,0.619047619047619,0.488095238095238,"[[ 3 11], [ 5 13]]",3,11,5,13,0.7222222222,0.2142857143
PET&DX,"AD STRING
No APOE",Random Forest,0.53125,0.555555555555556,0.833333333333333,0.666666666666667,0.535714285714286,"[[ 2 12], [ 3 15]]",2,12,4,14,0.7777777778,0.1428571429
PET&DX,"AD STRING
No APOE",SVM Linear,0.5625,0.571428571428571,0.888888888888889,0.695652173913043,0.380952380952381,"[[ 2 12], [ 2 16]]",5,9,8,10,0.5555555556,0.3571428571
PET&DX,"AD STRING
No APOE",SVM RBF,0.5625,0.5625,1,0.72,0.384920634920635,"[[ 0 14], [ 0 18]]",0,14,0,18,1,0
PET&DX,"AD STRING
No APOE",Logistic Regression,0.46875,0.526315789473684,0.555555555555556,0.54054054054054,0.452380952380952,"[[ 5  9], [ 8 10]]",3,9,8,10,0.5555555556,0.25
