Target,Dataset,Model,ACC,PRE,REC,F1,AUC,CM,TN,FP,FN,TP,Specificity,Sensitivity
PET,AD STRING,Random Forest,0.616438356164384,0.63265306122449,0.75609756097561,0.688888888888889,0.635670731707317,"[[14 18], [10 31]]",16,16,9,32,0.5,0.7805
PET,AD STRING,SVM Linear,0.63013698630137,0.645833333333333,0.75609756097561,0.696629213483146,0.664634146341463,"[[15 17], [10 31]]",16,16,10,31,0.5,0.7561
PET,AD STRING,SVM RBF,0.671232876712329,0.680851063829787,0.780487804878049,0.727272727272727,0.66844512195122,"[[17 15], [ 9 32]]",16,16,7,34,0.5,0.8293
PET,AD STRING,Logistic Regression,0.657534246575342,0.673913043478261,0.75609756097561,0.712643678160919,0.621189024390244,"[[17 15], [10 31]]",17,15,10,31,0.5313,0.7561
PET,AD STRING,Random Forest,0.643835616438356,0.653061224489796,0.780487804878049,0.711111111111111,0.649771341463415,"[[15 17], [ 9 32]]",16,16,11,30,0.5,0.7317
PET,AD STRING,SVM Linear,0.63013698630137,0.64,0.780487804878049,0.703296703296703,0.666158536585366,"[[14 18], [ 9 32]]",15,17,10,31,0.4688,0.7561
PET,AD STRING,SVM RBF,0.684931506849315,0.68,0.829268292682927,0.747252747252747,0.665015243902439,"[[16 16], [ 7 34]]",16,16,7,34,0.5,0.8293
PET,AD STRING,Logistic Regression,0.657534246575342,0.673913043478261,0.75609756097561,0.712643678160919,0.621189024390244,"[[17 15], [10 31]]",17,15,10,31,0.5313,0.7561
PET,AD STRING,Random Forest,0.63013698630137,0.645833333333333,0.75609756097561,0.696629213483146,0.639481707317073,"[[15 17], [10 31]]",13,19,10,31,0.4063,0.7561
PET,AD STRING,SVM Linear,0.63013698630137,0.652173913043478,0.731707317073171,0.689655172413793,0.669207317073171,"[[16 16], [11 30]]",14,18,9,32,0.4375,0.7805
PET,AD STRING,SVM RBF,0.671232876712329,0.680851063829787,0.780487804878049,0.727272727272727,0.666920731707317,"[[17 15], [ 9 32]]",17,15,9,32,0.5313,0.7805
PET,AD STRING,Logistic Regression,0.657534246575342,0.673913043478261,0.75609756097561,0.712643678160919,0.621189024390244,"[[17 15], [10 31]]",17,15,10,31,0.5313,0.7561
PET,"AD STRING
No APOE",Random Forest,0.534246575342466,0.566037735849057,0.731707317073171,0.638297872340425,0.469131097560976,"[[ 9 23], [11 30]]",7,25,14,27,0.2188,0.6585
PET,"AD STRING
No APOE",SVM Linear,0.520547945205479,0.545454545454545,0.878048780487805,0.672897196261682,0.534298780487805,"[[ 2 30], [ 5 36]]",2,30,5,36,0.0625,0.878
PET,"AD STRING
No APOE",SVM RBF,0.506849315068493,0.536231884057971,0.902439024390244,0.672727272727273,0.619664634146342,"[[ 0 32], [ 4 37]]",0,32,2,39,0,0.9512
PET,"AD STRING
No APOE",Logistic Regression,0.534246575342466,0.559322033898305,0.804878048780488,0.66,0.480182926829268,"[[ 6 26], [ 8 33]]",6,26,8,33,0.1875,0.8049
PET,"AD STRING
No APOE",Random Forest,0.561643835616438,0.578947368421053,0.804878048780488,0.673469387755102,0.427591463414634,"[[ 8 24], [ 8 33]]",8,24,13,28,0.25,0.6829
PET,"AD STRING
No APOE",SVM Linear,0.465753424657534,0.520833333333333,0.609756097560976,0.561797752808989,0.511432926829268,"[[ 9 23], [16 25]]",9,23,16,25,0.2813,0.6098
PET,"AD STRING
No APOE",SVM RBF,0.561643835616438,0.561643835616438,1,0.719298245614035,0.384146341463415,"[[ 0 32], [ 0 41]]",0,32,0,41,0,1
PET,"AD STRING
No APOE",Logistic Regression,0.506849315068493,0.551020408163265,0.658536585365854,0.6,0.508384146341463,"[[10 22], [14 27]]",10,22,14,27,0.3125,0.6585
PET,"AD STRING
No APOE",Random Forest,0.520547945205479,0.557692307692308,0.707317073170732,0.623655913978495,0.476753048780488,"[[ 9 23], [12 29]]",10,22,10,31,0.3125,0.7561
PET,"AD STRING
No APOE",SVM Linear,0.520547945205479,0.545454545454545,0.878048780487805,0.672897196261682,0.519817073170732,"[[ 2 30], [ 5 36]]",2,30,5,36,0.0625,0.878
PET,"AD STRING
No APOE",SVM RBF,0.506849315068493,0.536231884057971,0.902439024390244,0.672727272727273,0.380335365853659,"[[ 0 32], [ 4 37]]",0,32,1,40,0,0.9756
PET,"AD STRING
No APOE",Logistic Regression,0.534246575342466,0.559322033898305,0.804878048780488,0.66,0.480182926829268,"[[ 6 26], [ 8 33]]",6,26,8,33,0.1875,0.8049
PET,AD STRING,GNN GraphGym,0.6575,0.7222,0.6341,0.6753,0.718,"[[22 10], [15 26]]",22,10,15,26,0.6875,0.6341
PET,AD STRING,GNN GraphGym,0.6575,0.7222,0.6341,0.6753,0.7294,"[[22 10], [15 26]]",22,10,15,26,0.6875,0.6341
PET,AD STRING,GNN GraphGym,0.725,0.7073,0.716,0.6898,0.6898,"[[24 8], [12 29]]",24,8,12,29,0.75,0.7073
PET,"AD STRING
No APOE",GNN GraphGym,0.5616,0.5672,0.9268,0.7037,0.4779,"[[3, 29], [3, 38]",3,29,3,28,0.0938,0.9032
PET,"AD STRING
No APOE",GNN GraphGym,0.5616,0.5849,0.7561,0.6596,0.5404,"[[10, 22], [10, 31]]",10,22,10,31,0.3125,0.7561
PET,"AD STRING
No APOE",GNN GraphGym,0.5753,0.5694,1,0.7257,0.5526,"[[1, 31], [0, 41]]",1,31,0,41,0.0313,1
PET,Only APOE,Logistic Regression,0.616438,0.6,0.9512,0.7358,0.6894,"[[6 26], [2 39]]",6,26,2,39,0.1875,0.9512
